"","Taxon","CAP1","MDS1"
"1","Ditylum_a31",0.240475914371568,-0.0894934649456518
"2","Thalassiosira_6b3",0.216428322934411,-0.0733883270221919
"3","Poteriospumella_b57",-0.192380731497254,0.181207106188568
"4","Ditylum_ba4",0.180356935778676,-0.180493205267437
"5","Cylindrotheca_942",-0.168333140060098,-0.156931774230781
"6","Cylindrotheca_072",0.168333140060098,-0.225392014507127
"7","Oncorhynchus_584",0.168333140060097,-0.0535923870931512
"8","Pythium_482",0.168333140060097,-0.255599778405328
"9","Pythium_67b",0.168333140060097,-0.080783537999119
"10","Asterionellopsis_681",0.156309344341519,-0.16632197189088
