"","Taxon","CAP1","MDS1"
"1","Balanus_2eb",-0.172716788292755,0.231775508817701
"2","Hincksia_8a1",-0.15073465160095,-0.278456678364481
"3","Skeletonema_0a6",-0.136917308537529,0.250155331390679
"4","Gelidiophycus_401",-0.135661186440855,0.0520608349281853
"5","Micromonas_6f9",-0.131264759102493,-0.172533934568916
"6","Pythium_3b3",-0.119959660232422,-0.0319999096575925
"7","Hematodinium_449",-0.114935171845724,0.0391257318037206
"8","Balanus_6ef",-0.113050988700712,0.131453989205066
"9","Bathycoccus_14e",-0.109282622410688,-0.273189543079747
"10","Pycnococcus_d91",-0.109282622410688,-0.0337242872591038
