"","Taxon","CAP1","MDS1"
"1","Ditylum_ba4",0.201684614061103,-0.162570048125208
"2","Ditylum_a31",0.200121167440475,-0.0310284133171237
"3","Thalassiosira_47a",0.196212550888903,-0.0736441290373987
"4","Poteriospumella_86a",0.183704977923873,-0.0619994312826225
"5","Oncorhynchus_584",0.183704977923873,-0.0324896396913613
"6","Poteriospumella_b57",-0.1633801718557,0.13435892552535
"7","Chattonella_135",0.156344662062871,-0.132807446432674
"8","Balanus_513",0.150090875580356,-0.249199141341598
"9","Pinnularia_950",0.146963982339098,-0.0242228713071956
"10","Cylindrotheca_072",0.146182259028784,-0.189029623346954
