"","Taxon","CAP1","MDS1"
"1","Saxidomus_33e",0.210479512334767,-0.0424794600138713
"2","Chrysochromulina_7aa",0.174050365969134,0.0657214052136325
"3","Cylindrotheca_799",0.157859634251075,-0.062748743071667
"4","Thalassionema_f2c",-0.145716585462531,-0.118000833035567
"5","Gelidiophycus_401",0.139645061068259,-0.0335547083376981
"6","Nitzschia_dca",-0.137621219603501,-0.211971570758029
"7","Obelia_f83",-0.135597378138744,-0.220261680248824
"8","Karlodinium_a27",0.1234543293502,0.0129384128394508
"9","Balanus_2eb",0.117382804955928,-0.225345751478422
"10","Stephanodiscus_0c0",-0.117382804955928,-0.152748770127219
