"","Taxon","CAP1","MDS1"
"1","Calanus_79b",0.22334542262659,0.0321602371266813
"2","Pseudonitzschia_d36",0.193163608758132,-0.00982827196210064
"3","Rhizosolenia_e51",0.193163608758131,0.0166321628091969
"4","Ditylum_ce4",0.175054520437057,-0.15518846675013
"5","Clytia_8b4",0.175054520437057,0.0483953595959582
"6","Peronospora_8ec",0.169018157663365,0.11182010532207
"7","Chaetoceros_734",0.169018157663365,0.0682782886300195
"8","Pseudocalanus_175",0.162981794889674,-0.125845306753174
"9","Asterionellopsis_fce",0.156945432115982,0.0519399721198726
"10","Dendraster_0f8",0.15090906934229,-0.0207616002649828
