"","Taxon","CAP1","MDS1"
"1","Calanus_79b",0.229014226001908,-0.0757668571675174
"2","Clytia_8b4",0.192495741315117,-0.127196997920094
"3","Pseudonitzschia_4e5",0.178259721860945,-0.0520848247285118
"4","Asterionellopsis_fce",0.173927020287936,-0.0831409136161294
"5","Asterionellopsis_681",0.167737446612209,-0.114380928487084
"6","Dendraster_0f8",0.167737446612208,-0.0514903019973462
"7","Clytia_cae",0.153501427158036,-0.0844104974764592
"8","Skeletonema_cf5",0.151644555055317,0.0282606509168357
"9","Pseudocalanus_175",0.141122279806581,0.0701256701970353
"10","Chondracanthus_0d6",0.133075834028136,0.0375850110584076
