"","Taxon","CAP1","MDS1"
"1","Ditylum_ce4",0.246163570728029,0.0948178039387984
"2","Synchaeta_06c",0.197749128839691,0.0866877473429406
"3","Calanus_79b",0.191612086910183,0.161989370359031
"4","Skeletonema_0a6",0.191612086910183,0.196449768016094
"5","Pseudocalanus_175",0.188202619171568,0.0499290625680356
"6","Attheya_223",0.176610428860276,0.285796140295444
"7","Chaetoceros_00e",0.171155280478491,0.232215896525516
"8","Thalassiosira_391",0.161608770810368,0.0135520956620631
"9","Ditylum_a31",0.154107941785414,0.0126261700524243
"10","Pseudonitzschia_4e5",0.147289006308184,0.128180284782816
