sample,Hash,nReads
Apr18_P28_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,796
Sep17_P8_121.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,694
Sep17_P402_43.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,168
Apr18_P22_105.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2154
Apr18_P8_122.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3801
Sep17_P4_79.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,123
Apr18_P22_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3284
Sep17_P28_86.12,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,845
Apr18_P28_191.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1910
Sep17_P4_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3128
Sep17_P38_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1671
Apr18_P38_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1858
Sep17_P12_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1381
Apr18_P4_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,532
Sep17_P28_10.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2933
Sep17_P22_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1195
Sep17_P22_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2585
Sep17_P402_43.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,604
Sep17_P402_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1858
Kangaroo.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,23
Sep18_P12_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1335
Apr18_P8_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7341
Apr18_P402_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3290
Sep18_P402_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8785
Sep18_P11_78.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2254
Sep18_P11_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2776
Apr18_P1_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,817
Apr18_P4_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,909
Sep18_P402_43.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5220
Sep18_P14_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2557
Sep18_P12_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1049
Apr18_P38_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1569
Apr18_P12_120.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,216
Apr18_P12_120.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,34
Sep18_P11_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5343
