input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
70566,49732,22351,14592,48388,14071,14186,10253,14186,10253,24439,23594
29492,23289,10957,8169,22867,7912,21316,8770,21316,8770,30086,28160
37872,34090,14431,12791,32756,12059,24254,10321,24254,10321,34575,30384
39014,32237,18948,15240,31258,14571,27207,11204,27207,11204,38411,37582
35632,32337,17261,15484,31175,14792,25910,11481,25910,11481,37391,36088
38902,32393,15567,12486,31838,12113,23903,6915,23903,6915,30818,29322
39178,36092,20118,18363,35090,17643,29773,11245,29773,11245,41018,39196
26252,23750,13727,12269,22920,11782,30162,11283,30162,11283,41445,38397
34873,29301,15672,12620,28595,12246,26621,11053,26621,11053,37674,32359
11,5,2,1,5,1,36155,17523,36155,17523,53678,43967
20819,16851,15002,12519,16077,11905,39925,20910,39925,20910,60835,58632
29309,25185,13190,10921,24479,10518,34746,13675,34746,13675,48421,46686
34224,28814,15679,13224,27718,12551,35729,18832,35729,18832,54561,48357
34068,29995,16306,14345,29174,13831,25039,13338,25039,13338,38377,33997
32757,29116,14876,12864,28198,12407,42369,18808,42369,18808,61177,48487
31034,27175,9981,8425,26458,8067,21370,17325,21370,17325,38695,35755
38213,35203,14966,13618,33458,12717,23164,10548,23164,10548,33712,31743
44484,34397,18260,13318,33819,13007,28773,13597,28773,13597,42370,40050
37237,32262,15633,13298,31094,12603,37420,18402,37420,18402,55822,51246
50060,43145,25964,21992,41281,20812,30816,14985,30816,14985,45801,39818
51742,46148,27473,24300,44347,23063,30812,10366,30812,10366,41178,38290
46549,39121,20132,16285,37909,15463,40073,17761,40073,17761,57834,53940
53485,44659,30598,24510,42718,23191,27347,3931,27347,3931,31278,28769
42424,30500,24863,17418,29268,16461,44178,6785,44178,6785,50963,45592
60876,49424,29832,23261,47343,22091,43190,7763,43190,7763,50953,42736
28807,25290,23704,21281,24338,20355,37714,6603,37714,6603,44317,40893
31550,27297,15709,13387,26505,12805,27810,3833,27810,3833,31643,28901
41941,36614,20691,18131,33927,16704,31369,6417,31369,6417,37786,35185
51984,44355,27660,23019,42461,21875,35685,7910,35685,7910,43595,40931
41429,36561,21275,18499,35057,17433,35192,6109,35192,6109,41301,38111
55386,35532,18537,12380,34717,11985,54825,6971,54825,6971,61796,57196
54995,45613,24989,19958,44757,19334,26127,7946,26127,7946,34073,29135
