"","Sample","Month","Day","Year","Time","lat","lon","NMEAtimeUTC","Station","CruiseID","Cast","Date","Bottle","Density00","Sigma.t00","Sbeox0ML.L","Sbeox0Mg.L","Sbeox0PS","Potemp090C","Sal00","SvCM","Sva","CStarAt0","CStarTr0","C0mS.cm","DepSM","Dz.dtM","FlECO.AFL","Sbeox0V","Par","Ph","PrDM","Scan","T090C","Latitude","Longitude","YearMonth","YearMonth_Station_Bottle","basin"
"128","Sep17_P12_5.3","Sep","13",2017,12:52:01,47.4251666666667,-123.108166666667,"Sep 13 2017 19:55:12","P12","CB1079",18,"Sep 13 2017",10,1021.275,21.2512,7.9722,11.393,128.683,12.8772,28.3251,1491.97,652.989,0.6004,86.0664,33.771749,5.219,0.003,7.3038,3.4736,485,8.372,5.263,16816,12.8778,47.42548,-123.10796,"17-Sep","17-Sep_P12_10","Hood"
"129","Sep17_P12_0.3","Sep","13",2017,12:52:01,47.4251666666667,-123.108166666667,"Sep 13 2017 19:55:12","P12","CB1079",18,"Sep 13 2017",12,1018.1916,18.1851,7.0385,10.0587,119.714,16.37,25.2507,1499.76,947.788,0.4289,89.8324,33.009846,1.425,-0.004,1.5399,3.2654,1530,8.528,1.437,17793,16.3702,47.4255,-123.10795,"17-Sep","17-Sep_P12_12","Hood"
"130","Sep17_P402_43.3","Sep","13",2017,14:47:41,47.3563333333333,-123.0235,"Sep 13 2017 21:50:51","P402","CB1079",20,"Sep 13 2017",1,1022.9336,22.7311,1.631,2.3309,24.826,9.7819,29.5465,1483.15,511.834,0.5734,86.645,32.546793,43.984,0.005,0.2439,1.0942,1e-12,7.741,44.359,4230,9.7866,47.35576,-123.02374,"17-Sep","17-Sep_P402_1","Hood"
"131","Sep17_P402_5.3","Sep","13",2017,14:47:41,47.3563333333333,-123.0235,"Sep 13 2017 21:50:51","P402","CB1079",20,"Sep 13 2017",10,1021.8499,21.8265,4.5523,6.5057,71.141,11.2453,28.6914,1486.73,597.846,0.6727,84.5217,32.845229,5.101,-0.011,11.041,2.1569,105,8.122,5.144,9350,11.2459,47.35521,-123.02416,"17-Sep","17-Sep_P402_10","Hood"
"132","Sep17_P402_0.3","Sep","13",2017,14:47:41,47.3563333333333,-123.0235,"Sep 13 2017 21:50:51","P402","CB1079",20,"Sep 13 2017",12,1017.3684,17.3617,7.031,10.048,121.678,17.4816,24.4927,1502.34,1027.283,0.7259,83.4038,32.921878,1.48,0.008,2.6426,3.3078,808,8.519,1.493,10536,17.4818,47.3551,-123.02427,"17-Sep","17-Sep_P402_12","Hood"
"133","Sep17_P38_86.3","Sep","15",2017,11:04:22,47.2765,-122.708,"Sep 15 2017 18:07:26","P38","CB1079",27,"Sep 15 2017",1,1022.5944,22.2045,4.1525,5.9343,68.365,13.4061,29.6924,1496.75,563.324,0.3254,92.1869,35.724901,86.016,0.005,0.3103,2.0775,1e-12,8.225,86.756,6814,13.4176,47.27676,-122.70808,"17-Sep","17-Sep_P38_1","South"
"134","Sep17_P38_5.3","Sep","15",2017,11:04:22,47.2765,-122.708,"Sep 15 2017 18:07:26","P38","CB1079",27,"Sep 15 2017",10,1021.7215,21.6974,4.4468,6.3549,74.242,14.2327,29.2446,1497.58,610.247,0.052,98.7082,35.887401,5.332,-0.002,3.1295,2.2274,323,8.226,5.377,14031,14.2335,47.27688,-122.70794,"17-Sep","17-Sep_P38_10","South"
"135","Sep17_P38_0.3","Sep","15",2017,11:04:22,47.2765,-122.708,"Sep 15 2017 18:07:26","P38","CB1079",27,"Sep 15 2017",12,1021.5851,21.5789,6.0396,8.6312,101.799,14.7097,29.217,1499.04,621.52,0.312,92.498,36.253972,1.376,-0.001,3.4733,2.8583,1820,8.646,1.387,15496,14.7098,47.2769,-122.7079,"17-Sep","17-Sep_P38_12","South"
"136","Kangaroo.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Apr18_P28_191.1","Apr","07",2018,12:03:16,47.7038333333333,-122.454166666667,"Apr 07 2018  19:03:15","P28","RC001",1,"Apr 07 2018",1,1023.9025,23.0256,5.795,8.2816,85.448,8.3179,29.6463,1480.26,485.246,0.9631,78.6041,31.526263,189.495,-0.018,0.2852,2.4346,1e-12,8.033,191.182,12454,8.3362,47.70468,-122.45444,"18-Apr","18-Apr_P28_1","Central"
