AphiaID,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,taxonRank,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Marine,Brackish,Fresh,Terrestrial,taxonomicStatus,Unacceptreason,LSID,Citation
246840,Pyrodinium monilatum,"(Howell) F.J.R.Taylor, 1976",231875,Alexandrium monilatum,"(J.F.Howell) Balech, 1995",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Goniodomataceae,Pyrodinium,,monilatum,,,,,,unaccepted,,urn:lsid:marinespecies.org:taxname:246840,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyrodinium monilatum (Howell) F.J.R.Taylor, 1976. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246840 on 2019-07-16"
162753,Pyrodinium phoneus,"Woloszynskia & Conrad, 1939",109712,Alexandrium ostenfeldii,"(Paulsen) Balech & Tangen, 1985",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Goniodomataceae,Pyrodinium,,phoneus,,1,,,,unaccepted,synonym,urn:lsid:marinespecies.org:taxname:162753,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyrodinium phoneus Woloszynskia & Conrad, 1939. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=162753 on 2019-07-16"
233400,Pyrodinium schilleri,(Matzenauer) Schiller,233399,Pyrodinium bahamense var. compressum,"(Böhm) Steidinger, Tester & F.J.R.Taylor, 1980",Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Goniodomataceae,Pyrodinium,,schilleri,,,,,,unaccepted,synonym,urn:lsid:marinespecies.org:taxname:233400,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyrodinium schilleri (Matzenauer) Schiller. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://marinespecies.org/HAB/aphia.php?p=taxdetails&id=233400 on 2019-07-16"
600861,Raphidiopsis,"F.E.Fritsch & F.Rich, 1929",600861,Raphidiopsis,"F.E.Fritsch & F.Rich, 1929",Genus,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Raphidiopsis,,,,,,,,accepted,,urn:lsid:marinespecies.org:taxname:600861,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Raphidiopsis F.E.Fritsch & F.Rich, 1929. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=600861 on 2019-07-16"
656423,Raphidiopsis curvata,"F.E.Fritsch & M.F.Rich, 1930",656423,Raphidiopsis curvata,"F.E.Fritsch & M.F.Rich, 1930",Species,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Raphidiopsis,,curvata,,0,0,1,0,accepted,,urn:lsid:marinespecies.org:taxname:656423,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Raphidiopsis curvata F.E.Fritsch & M.F.Rich, 1930. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=656423 on 2019-07-16"
619197,Raphidiopsis mediterranea,"Skuja, 1937",619197,Raphidiopsis mediterranea,"Skuja, 1937",Species,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Raphidiopsis,,mediterranea,,0,0,1,,accepted,,urn:lsid:marinespecies.org:taxname:619197,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Raphidiopsis mediterranea Skuja, 1937. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=619197 on 2019-07-16"
1308940,Raphidiopsis raciborskii,"(Wołoszyńska) Aguilera, Berrendero Gómez, Kaštovský, Echenique & Salerno, 2018",1308940,Raphidiopsis raciborskii,"(Wołoszyńska) Aguilera, Berrendero Gómez, Kaštovský, Echenique & Salerno, 2018",Species,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Raphidiopsis,,raciborskii,,0,0,1,0,accepted,,urn:lsid:marinespecies.org:taxname:1308940,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Raphidiopsis raciborskii (Woloszynska) Aguilera, Berrendero Gómez, Kaštovský, Echenique & Salerno, 2018. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=1308940 on 2019-07-16"
588644,Raphidoistia,,588644,Raphidoistia,,Superclass,Chromista,Ochrophyta,,,,,,,,,,,,accepted,,urn:lsid:marinespecies.org:taxname:588644,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Raphidoistia. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=588644 on 2019-07-16"
160581,Raphidophyceae,"M. Chadefaud ex P.C. Silva, 1980",160581,Raphidophyceae,"M. Chadefaud ex P.C. Silva, 1980",Class,Chromista,Ochrophyta,Raphidophyceae,,,,,,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:160581,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Raphidophyceae. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160581 on 2019-07-16"
146651,Rivulariaceae,"Frank, 1886",146651,Rivulariaceae,"Frank, 1886",Family,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,,,,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:146651,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Rivulariaceae Frank, 1886. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146651 on 2019-07-16"
